name,description,type
Pepper Chair,Located in Centurion Pepper Chair is a unique restaurant venue that features an extensive food and beverage menu for lunch and dinner in a comfortable and lively environment,restaurant
Dewetswild,Let DeWetsWild Assist You with Reservations At 277 Destinations Right Across South Africa Ideal Bases For Exploring Our National Parks Game And Nature Reserves,attraction
Ditsong Kruger Museum,The Museum consists of the original house in which S J P Kruger President of the old Zuid-Afrikaansche Republiek ZAR and his family lived during the last years of the 19th century as well as two display halls and President Krugers State Railway Coach The Kruger house built in 1884 was the original home of Paul Kruger President of the former Transvaal Boer Republic The house has been refurbished to reflect the time when the President and his wife Gezina Kruger lived there,museum
E Biking Africa Pty Ltd, Exhilarating effortless wild game experience An exhilarating half-day experience in nature for first time e-bikers,service
Cullinan Tours,Tourist attraction in Tshwane - Cullinan Tours,service
Ebuhleni Tours Pty Ltd,Ebuhleni Tours is a fully registered entity under -Pty Ltd It was founded on the 17 October 2005 as a cc and converted to a Pty- Ltd on the 05 October 2013 Its principal operation is the conveyance of tourists airport transfer travel and trips,service
El Mikho Travel Tours,El Mikho Travel and Tours is a South African Tour Operator which was established in 2012 as a people company in South Africa Since then we have successfully acted as a world-class tour and safari operator in South Africa and other countries in Southern Africa,service
Eternal Partners Business Solution Pty Ltd,Change your routine during the day eat lunch somewhere new take new ways to work hangout or lunch with different people go for a run in the middle of the night,service
Famba Famba Tour Design Specialists,Famba Famba is your tour design specialist partner when it comes to creating unforgettable lifetime moments,service
Fishmonger Centurion,Welcome to Fishmonger where we serve you the best quality freshest most delicious fish dishes in South Africa Choose any one of our 31 dishes including prawns mussels oyster,restaurant
Fleisherei Bistro,With the delicious Fleisherei Bistro menu you can start your day with a refreshing breakfast or maybe indulge in our lunch or dinner specialities focused on exciting modern cuisine,restaurant
Taris Concepts,Tourist attraction in Tshwane - Taris Concepts,restaurant
Freedom Park SA,Freedom Park celebrates South Africas heritage It is a centre of knowledge aimed at deepening the understanding of the nation It strives to accommodate all of the countrys experiences and symbols to tell one coherent story Freedom Park is a cultural institution housing a museum and a memorial dedicated to chronicling and honouring the many who contributed to South Africas liberation,attraction
Fumo,Highly regarded authentic Italian cuisine in heart of the South African capital Pretoria Internationally recognised Executive Chef Claudio Uccello from Naples with experience in New York Montecarlo London Venice Singapore and his lovely home town Napoli,restaurant
Gabbata Lodge Restaurant,Youve been to the rest Now come to the best At Gabbata Lodge Restaurant we pride ourselves in our great dishes using only the finest ingredients and prepared with care and attention for guests with distinguished culinary expectations,restaurant
Garden Court Hatfield Hotel Pretoria,Accommodation at Garden Court Hatfield is comfortable and inviting with 157 bright and modern en-suite rooms on offer A choice of either a queen bed or two double beds makes our Hatfield accommodation perfect for all types of traveller Air conditioning room-service free uncapped WiFi a writing desk bathroom with bath and shower in-room tea and coffee making facilities DStv concierge service and the added convenience of room service ensures a relaxed pleasant stay,accommodation
Glen Marion Guest House,Glen Marion Guest House offers upmarket hospitality for a comfortable stay in Pretoria East South Africa The  Guest House is located within close proximity from Menlyn Centre Menlyn Retail Park Menlyn Maine and other businesses in the Menlyn region,accommodation
Graceland Conference Lifestyle Centre,Let tranquility reboot you into a new life experience Graceland Conference and Lifestyle Center is the ideal venue for private retreats indulgent relaxations at the lifestyle center as well as hosting both business and social occasions family gatherings and weddings,venue
Green Valley Lodge,Green Valley Lodge is nestled below the Wonderboom South Nature Reserve which is one of Pretorias popular Heritage sites,accommodation
Ndila Transfers,Ndila Transfers services are airport transfers- business transfers- chauffeur drive -tour drive point to point  We guarantee the best professional service and punctuality at all times  We cater for all disabilities with easy access cars  We operate to and from the OR Tambo Lanseria Airport and Wonderboom Airport,service
Next to Apartment Hotel,NEXT TO Apartment Hotel is unmatched in terms of luxury living architectural beauty with a touch of art in the heart of Hatfield near Lynnwood Menlo Park and Menlyn Tshwane Whether you are career oriented the trend setter looking for the perfect social scene or the family looking for a homely stay away from home then Next To Apartment Hotel is the place for you,accommodation
Ogalito Restaurant Centurion,O Galito inherits its cuisine from our Portuguese forefathers and is reminiscent of L M in the old days when readily available prawns - langoustines - crab - lobsters and oysters were prepared in boundless platters,restaurant
Pachas Restaurant,The Club Centre offers safe and secure parking either on the ground floor or underground  Simply come up with the escalators or hop in the lift and press level one Our menu offers Upmarket Steakhouse fare as well as a wide variety of seafood and poultry Pachas has many private venue options for that special occasion business luncheon or dinner,restaurant
Passi Deli,Situated in the heart of Centurion in the rustic suburb of Lyttelton Passi from the word passion wasstarted in May 2010 Passi with its Cape-influenced aesthetic,restaurant
Phahama Lodge,Welcome to Phahama Lodge where we witness Africa rising to her full potential within our lifetime Derived from Sesotho one of the 11 official languages of South Africa Phahama encapsulates the essence of empowerment advancement and elevation Our creative journey began in June 2010 with a vision to establish a haven where communities – comprising businesses- leadership teams- management teams- ministry groups- primary- secondary and tertiary educational institutions and families ,accommodation
Piccola Italia,Piccola Italia is a true neighbourhood restaurant It is a restaurant where everyone within the radius pops in on a regular basis Piccolas menu is an authentic Italian one ,restaurant
Plaka Menlyn,At Plaka we believe that lifes greatest pleasure is enjoying good food in good company Over the past 26 years weve built our reputation as a gathering place for all who delight in sharing dishes made with love and care whether for a quick bite or a romantic evening,restaurant
Portugalo Restaurant,From a family with a gift for cooking food came the idea to open a REAL Portuguese restaurant  Authentic real simple recipes that have been passed down for generations in our family cooked and enjoyed by us over festive memorable Sunday lunches for several years now,restaurant
Pretoria Hotel,Nestled right in the heart of Arcadia Tshwane the Pretoria Hotel offers guests inviting yet affordable hotel accommodation attentive service conference facilities and jaw-dropping rooftop views of the iconic Union Buildings and surroundings,accommodation
Pretoria National Botanical Garden,This 76 ha urban oasis is a pristine getaway situated in the eastern suburbs of South Africas administrative capital Pretoria The garden which is surrounded by urban development offers a much needed green area and corridor for wildlife in the eastern suburbs of Pretoria The ridge that runs through the garden the natural grassland and lawned areas containing beds of indigenous plants offer a habitat for many animal species,attraction
Prue Leith Restaurant,Our landscaped gardens are ideal for summer weddings and cocktail parties under the stars Indulge and treat yourself to the sublime splendor of a baby shower complimented by hand crafted chocolates cupcakes and silver cake stands,restaurant
Relish Bistro Hatfield,The Relish Bistro team is committed to provide clients with an exceptional dining experience through excellent service and unique dishes serving delicious South African cuisine prepared with passion from local produce The restaurants setting inside provides private dining and booths,restaurant
RH Hotel Pretoria,The tallest building in Pretoria the 25-storey glass and steel RH Hotel Pretoria sits atop lively Pretoria Sunnypark Shopping Centre just 2km from the heart of the city Gaze at the citys urban skyline and the mountains beyond as you cool off in our outdoor pool Relax in your modern guest room a peaceful haven with free wireless Internet away from the bustle of the city centre,accommodation
Rietvlei Nature Reserve,Rietvlei Nature Reserve belongs to the City of Tshwane and came into existence due to a water scheme to supply drinking water for the city of Pretoria Rietvlei Nature Reserve is therefore a fairly large nature reserve in an urban setting and covers about 4 000 hectares,attraction
Ritsako Guest Lodge,Nestled in the heart of the Dinokeng Game Reserve and situated 45km north of Pretoria on the N1 Highway and only 1-5 hours drive from OR Tambo International Airport lies the Ritsako Game Lodge The venue is ideal for conferencing catered and self-catering accommodation weddings functions and team building activities,accommodation
Road Lodge Centurion,The 118-room Road Lodge Centurion is conveniently located in the Centurion Gate Centre in Pretoria offering affordable and comfortable accommodation close to key business and leisure locations,accommodation
Rosemary Hill,Rosemary Hill is a working farm near Pretoria that invites visitors to reconnect with nature Emphasizing sustainable and organic farming theyve planted over 100-000 trees in 50 years fostering a vibrant ecosystem,accommodation
Royal Elephant Hotel Conference Centre,The Royal Elephant experience is shaped by a kingdom past and present by royal design and elemental grace by the symbols and smells the colours echoes and reflections of Morocco and North Africa,accommodation
Simply Asia Brooklyn Mall,At Simply Asia we are proud to offer a unique Thai dining experience with food prepared by our chefs and a menu packed full of delicious dishes to satisfy a wide range of palates And with more than 50 stores throughout the Western Cape Eastern Cape Gauteng and KwaZulu-Natal our growing presence in Botswana and Zimbabwe,restaurant
SANBI National Zoological Garden,The 85-hectare Zoo in Pretoria houses 3117 specimens of 209 mammal species 1358 specimens of 202 bird species 3871 specimens of 190 fish species 388 specimens of 4 invertebrate species 309 specimens of 93 reptile species and 44 specimens of 7 amphibian species The National Zoological Garden of South Africa is the largest zoo in the country and the only one with national status More than 600 000 people visit the Zoo annually,attraction
Siyaya Lodges,The Siyaya Group of Lodges is situated within the Pride of Africa Nature reserve within the greater Dinokeng Big 5 Game Reserve ,accommodation
Southern Sun Pretoria,Located in South Africas administrative capital our Pretoria hotel is the perfect blend of elegant design and traditional hospitality The hotel is popular among politicians diplomats- business guests and officials due to its proximity to the many embassies- consulates and government offices in the Arcadia neighbourhood,accommodation
Specialist Tours,Let Us Create Your Dream Experience From an unforgettable safari in a private game reserve to breathtaking views from the top of Table Mountain,service
Spice the Indian Kitchen,Spice-The Indian Kitchen takes pride in our great passion for Food and the Service therof We use only the freshest finest ingredients to bring you an Authentic Taste of True Indian Cuisine making us both Special and Unique,restaurant
Spout Coffee Company,Exceptional Curious Sustainable A perfect blend of exceptional coffees driven by knowledge curiosity creativity,restaurant
Square Time Cafe,Looking over the scenic surroundings of the Boardwalk lake Square Time Café is tucked under a canopy of tall green trees which have been growing as long as we have been established,restaurant
STaY Regency,At STaY Regency your satisfaction is our highest priority We are dedicated to providing an exceptional experience from the moment you step through our doors Our team attentive to every detail ensures that your stay is both comfortable and memorable From the luxurious comfort of our rooms to the exquisite dining options and personalized services we go above and beyond to meet your needs and exceed your expectations,accommodation
Sundowner Fly Fishing Adventures,We are all about eco friendly Sport and Fly Fishing Our options include a variety of destinations a short drive just outside Johannesburg in Bronkhorstpruit Magaliesburg or Cradle of Humankind much closer than you think to bucket list trips in South and Southern Africa Fishing equipment is available to hire and you can book fishing lessons with our experienced facilitators,service
Suntaluna Spa Where Body and Mind Are Revitalised,Break away from the stress and bustle of the city to the ultimate destination for relaxation and tranquillity set on the shores of the scenic Hennops River Here we offer the ideal escape where beautiful surroundings and restorative treatments work to harmonise and energise body mind and soul,spa
Supreme Travel,The company strives to understand customer needs customer expectations and the importance of customer service delivery We provide professional service to both corporate companies government departments and leisure clients,service
Thabiso Guest House,The magnificent Italian Tuscan style Thabiso Guesthouse is set on a high ridge that overlooks Meyerspark Guests are afforded the elegance privacy and comfort of a luxury modern-day establishment,accommodation
Black Bamboo Restaurant,The Black Bamboo offers a truly unique world-class dining experience which celebrates the synergy between food wine and art An ever-changing a-la-carte menu is inspired by international delicacies with a local twist and a carefully selected wine list offers interesting options for every palate and occasion,restaurant
the Blades Hotel,The Blades is an exclusive hotel situated on a 10 hectare expanse of untamed bushveld built on the banks of the Roodeplaat Dam  We offer a unique combination of indigenous vegetation landscaping and water-front luxury We are conveniently situated just 20 minutes from Pretoria 40 minutes from OR Tambo International and 50 minutes from Johannesburg making it an accessible destination to both local and international guests,accommodation
the Blue Crane Restaurant Bar,The Blue Crane Restaurant and Bar situated in the heart of Pretoria next to the Austin Roberts Bird Sanctuary is now under new ownership and management Not only has the entire venue been renovated extensively but we also built a brand new Boma area ideal for functions and enjoying the bonfire on a chilly evening,restaurant
the Catwalk Lodge,A Luxury Guesthouse situated in the suburb of Erusmasrand- east of Pretoria,accommodation
the Falling Feather Inn Guest House,The Falling Feather Inn is a stylish and comfortable guest house that offers bed and breakfast in the upmarket suburb of Val-de-Grace Pretoria East South Africa  In a tranquil area next to the CSIR and close to the Botanical Gardens Val-de-Grace is an ideal location for business as well as relaxation located only 40 minutes away from OR Tambo International Airport,accommodation
the Godfather Restaurant Midstream,The Godfather has a proud tradition of exceptional food and service All beef served at The Godfather is top quality South African beef We make a special effort to procure the very best quality products for all our menu items,restaurant
the Grill Room,The Grillroom and Sushi Bar is a modern stylish restaurant which has just opened in Brooklyn Bridge Office Park in Pretoria Perfect for special occasions romantic dinners and business lunches the restaurants offers an exquisite culinary experience for all palates,restaurant
the Lions Den,The Lion s den is situated in an unique setting inside an industrial estate Our building is the 2nd oldest house in Silverton which was Built in 1896 The restaurant and venue has a quaint yet rustic atmosphere perfect for all your function needs,restaurant
the Maslow Time Square Hotel,Discover a new generation of hotels in Pretoria A trailblazing first for Sun International and South Africa The Maslow Time Square features a variety of Pretoria accommodation options all under one roof Located in the heart of the Menlyn Maine Precinct The Maslow Time Square is a premier hotel in Pretoria,accommodation
the Park Lodge Hotel Apartments,Exquisitely decorated and offset by a modern look and feel each room and apartment has been designed with the comfort of our guests in mind The Park Lodge Hotel and apartments is the last word in luxury accommodation in Pretoria,accommodation
the Ultimate Pretoria Bucket List,The ultimate pretoriabucketlist was created in 2015 to give locals and visitors to Pretoria a reliable and up to date resource of the best experiences to have during your time in the capital city Since then we have directed thousands of visitors to some of our city s most celebrated restaurants attractions and events,attraction
the Woodpecker Inn Guesthouse,The Woodpecker Inn is a luxurious five-star guest house that is hidden away on the 18th fairway of Pretoria East revered Woodhill Golfing and Residential Estate The peaceful and secure environment that The Woodpecker Inn offers combined with all the conveniences and luxuries that you would expect from a five-star guest house is why we have been the accommodation provider of choice to the travelling business executive for many years,accommodation
Thorn Tree Bush Camp,Thorn Tree Bush Camp is situated within the Dinokeng Big Five Game Reserve They have a true nature lover in mind when having you as our guest go and experience the amazing African Bushveld and its beautiful animals sunrises sunsets and nature,accommodation
Tin Roof Cafe,The heart of our business is our kitchen fitted with a traditional wood burning pizza oven and super mod‑cons Our inspiration is broiled up in this homely space Chef Pellie Grobler loves leading the dedicated team in the kitchen to ensure the product meets demand,restaurant
Toulas Greek Restaurant,We serve traditional Greek dishes as well as some Greek fusion dishes…Greek with a twist There are no main meals on our menu all dishes are mezedes The idea is to order a variety of different items place them in the centre of the table and enjoy the feast together in a more sociable way,restaurant
Travel2Africa,Travel2Africa invites you on a journey of adventure in South Africa to discover local cultures tradition savouring local cuisines listening to hummingbirds watching wildlife and gazing at landscape that tell a million stories We offer a total lucrative African Experience to international tourists wishing to embark on a journey of a lifetime and unlike most operators or travel agencies we work with fewer travellers allowing greater flexibility and a first-hand experience,service
Tshikwalo Game Lodge,Tshikwalo Game Lodge is situated within the malaria-free Dinokeng Game Reserve the first free-roaming Big-5 game reserve in Gauteng and offers an amazing African bush experience for local and international visitors Tshikwalo Game Lodge is a mere 30 minutes drive north of Pretoria and a 60 minutes drive from O R Tambo International Airport and Johannesburg,accommodation
Turn n Tender Menlyn Maine,Since 1977 Turn n Tender has served up an exceptional dining experience Here everything revolves around a love of great steak and an exceptional taste in wine Our meat is of the highest quality and provided by an exclusive central kitchen Our wines on offer are hand selected from only the best wine farms in South Africa,restaurant
Tussen I Bome Guest Farm,Tussen-I-Bome Guest Farm is a quaint ox-wagon resort and venue located 30 minutes or 26km from Montana Pretoria on the KwaMahlango-Moloto road Nestled in the malaria free Bobbejaansberg Mountains it offers an unique venue for weddings conferences functions or just a weekend break-away for the family or with friends,accommodation
Ulysses Tours Safaris,Ulysses Tours and Safaris based in Centurion - Gauteng Province - is an incoming tour operator specializing in tailor-made itineraries of tours or safaris for up-market FITs- groups - incentives and pre- and post conference tours,service
Villa San Giovanni,Italian food is less about the style of which the dish is made and more about the passion that is put into making it Who better than the nation that practically invented the term love to create such amazing dishes with something as humble as a tomato And love is but a few of the many things Italians do best,restaurant
Villa San Giovanni Hotel,Located in the main terminal building of Wonderboom National Airport our 4 Star hotel is in close proximity to Rosslyn Onderstepoort Montana Sinoville and Doornpoort with easy access to highways With us your stay is memorable,accommodation
Wing Wah Sushi,If authentic Asian cuisine is what you are craving for then our avenue in Faerie Glen is the place to go A warm welcoming atmosphere combined with Eastern hospitality,restaurant
Zilko Tours Travel,Welcome to Zilko Tours and Travel an acknowledged expert in domestic and international travel taking its clients to all points of the compass in style and comfort,service
Kream Restaurant,Founded in 2007 by Tufan Yerebakan Kream has established and developed itself into a trendy one-of-a-kind experience for many Serving delicious modern cuisine in an artistic environment Kream combines the two to provide a great sensory experience,restaurant
KAROO Grill & Bar at IRENE Village Mall,A leading steak-based restaurant It looks like a steakhouse Mmmm- it smells like a steakhouse And it certainly tastes like a steakhouse But Karoo Cattle and Land is more than just a steakhouse It is a top steak-based restaurant And a South African one at that featuring traditional SA fare like bobotie and boerewors,restaurant
